group,axis,method,bin,v22,v22_err,c22_or_corr,c22_or_corr_err,c22_significance
selection,beam,pt1to3,0_10,0.7905183461,0.0003462119123,0.6249192555,0.000547361327,1141.694206
selection,beam,pt1to3,10_15,0.7313498865,0.0005017654656,0.5348726565,0.0007339390019,728.7699048
selection,beam,pt1to3,15_20,0.6792857061,0.002098438733,0.4614290705,0.002850384831,161.8830782
selection,beam,pt1to3,20_25,0.6496068169,0.01702511794,0.4219890166,0.02217344634,19.03127777
selection,beam,pt1to3,25_30,0,0,0.3376331512,0.3165310792,1.066666667
selection,beam,pt1to3,30_35,0,0,0,0,0
selection,beam,pt1to3,35_40,0,0,0,0,0
selection,beam,pt1to3,40_999,0,0,0,0,0
selection,beam,positive,0_10,0.7571712944,0.0002462546823,0.5733083691,0.0003729122679,1537.381358
selection,beam,positive,10_15,0.6634764985,0.0003917799995,0.4402010641,0.0005198757854,846.7427729
selection,beam,positive,15_20,0.5528247678,0.001727865503,0.3056152238,0.001910674669,159.951471
selection,beam,positive,20_25,0.4621836929,0.02693338216,0.213613766,0.02474976774,8.630940224
selection,beam,positive,25_30,0,0,-0.006947564987,0.006513342175,-1.066666667
selection,beam,positive,30_35,0,0,0,0,0
selection,beam,positive,35_40,0,0,0,0,0
selection,beam,positive,40_999,0,0,0,0,0
selection,beam,negative,0_10,0.7561686222,0.0002848569776,0.5717909851,0.0004307832263,1327.328805
selection,beam,negative,10_15,0.6609376837,0.000554393027,0.4368386217,0.0007328160515,596.109516
selection,beam,negative,15_20,0.5437553391,0.003105916199,0.2956698688,0.003377323043,87.5456286
selection,beam,negative,20_25,0.4476057772,0.02988718985,0.2003509318,0.02669026656,7.506516704
selection,beam,negative,25_30,0,0,0,0,0
selection,beam,negative,30_35,0,0,0,0,0
selection,beam,negative,35_40,0,0,0,0,0
selection,beam,negative,40_999,0,0,0,0,0
selection,beam,thrustlt0p90,0_10,0.5633233767,0.004915650542,0.3173332267,0.005536936515,57.31205801
selection,beam,thrustlt0p90,10_15,0.5370500477,0.001611925374,0.2884227538,0.001731530574,166.5709853
selection,beam,thrustlt0p90,15_20,0.5185888925,0.0006635379691,0.2689344394,0.0006882074353,390.7752599
selection,beam,thrustlt0p90,20_25,0.5031040057,0.0007126009453,0.2531136406,0.000717049345,352.9933363
selection,beam,thrustlt0p90,25_30,0.4906030657,0.001876683758,0.240691368,0.001841137637,130.7296984
selection,beam,thrustlt0p90,30_35,0.469175375,0.003221702242,0.2201255325,0.00302100529,72.86499406
selection,beam,thrustlt0p90,35_40,0.443868396,0.01081219796,0.197019153,0.009615096509,20.49060587
selection,beam,thrustlt0p90,40_999,0.4789755236,0.03200116913,0.2294175522,0.03057663023,7.503035831
selection,beam,thrustlt0p85,0_10,0.5522945102,0.005787602044,0.305029226,0.006393249806,47.71113834
selection,beam,thrustlt0p85,10_15,0.5019490212,0.003230144937,0.2519528199,0.003243619038,77.67645242
selection,beam,thrustlt0p85,15_20,0.4602357377,0.001137099254,0.2118169342,0.001047048491,202.2990684
selection,beam,thrustlt0p85,20_25,0.4335066322,0.001293229587,0.1879280002,0.001121165452,167.6184366
selection,beam,thrustlt0p85,25_30,0.4178980774,0.002450088482,0.1746388031,0.002047569057,85.2908001
selection,beam,thrustlt0p85,30_35,0.4018984758,0.004164394354,0.1615223849,0.003344038829,48.30158774
selection,beam,thrustlt0p85,35_40,0.3862815091,0.01258870064,0.1492134043,0.009717387706,15.35530008
selection,beam,thrustlt0p85,40_999,0.4592964323,0.03049119024,0.2109532127,0.02783269259,7.579331825
selection,beam,sphgt0p12,0_10,0.5952480454,0.003626836701,0.3543202355,0.004316135699,82.0920055
selection,beam,sphgt0p12,10_15,0.5784614286,0.001946114451,0.3346176244,0.002251523685,148.6183008
selection,beam,sphgt0p12,15_20,0.5607158942,0.0007483657442,0.314402314,0.0008392524319,374.6218683
selection,beam,sphgt0p12,20_25,0.5429354982,0.0006374211465,0.2947789552,0.0006921420624,425.8937163
selection,beam,sphgt0p12,25_30,0.526602846,0.001890204259,0.2773105574,0.001990563485,139.3125914
selection,beam,sphgt0p12,30_35,0.4980971388,0.002887380204,0.2481007597,0.00287572622,86.27412372
selection,beam,sphgt0p12,35_40,0.4612722279,0.01187276718,0.2127720683,0.01095964381,19.41414083
